GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,TRBL_SUBA,AITS,ANRCA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,C_NECTAA,NECTADIVA,URB_AREAA,CDA,STLEG_UPA,STLEG_LOA,ZCTAA,SUBMCDA,SD_ELMA,SD_SECA,SD_UNIA,UR,PCI,PUMAA,GEOID,TRBL_CTA,TRBL_BGA,NAME_E,AMRZE001,AMRZE002,AMRZE003,AMRZE004,AMRZE005,AMRZE006,AMRZE007,AMRZE008,AMRZE009,AMRZE010,AMRZE011,AMRZE012,AMRZE013,AMRZE014,AMRZE015,AMRZE016,AMRZE017,AMRZE018,AMRZE019,AMRZE020,AMRZE021,AMRZE022,AMRZE023,AMRZE024,AMRZE025,AMR7E001,AMR7E002,AMR7E003,AMR7E004,AMR7E005,AMR7E006,AMR7E007,AMR7E008,AMR7E009,AMR7E010,AMR7E011,AMR7E012,AMR7E013,AMR7E014,AMR7E015,AMR7E016,AMR7E017,AMR8E001,AMUDE001,AMWBE001,NAME_M,AMRZM001,AMRZM002,AMRZM003,AMRZM004,AMRZM005,AMRZM006,AMRZM007,AMRZM008,AMRZM009,AMRZM010,AMRZM011,AMRZM012,AMRZM013,AMRZM014,AMRZM015,AMRZM016,AMRZM017,AMRZM018,AMRZM019,AMRZM020,AMRZM021,AMRZM022,AMRZM023,AMRZM024,AMRZM025,AMR7M001,AMR7M002,AMR7M003,AMR7M004,AMR7M005,AMR7M006,AMR7M007,AMR7M008,AMR7M009,AMR7M010,AMR7M011,AMR7M012,AMR7M013,AMR7M014,AMR7M015,AMR7M016,AMR7M017,AMR8M001,AMUDM001,AMWBM001
"G0100430","2016-2020","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01043",,,"Cullman County, Alabama",58084,777,7,0,0,36,132,89,27,701,559,814,1349,2345,2142,1324,15053,3694,4527,9143,6411,5889,2423,440,202,31733,2164,1762,1808,1808,1956,1815,1918,1930,1095,3093,3118,3850,2212,1230,1315,659,48388,38056,135200,"Cullman County, Alabama",148,195,10,29,29,43,110,67,27,232,295,204,255,440,363,298,956,557,479,867,733,578,428,144,89,507,371,327,320,350,384,313,377,309,213,429,464,434,360,278,257,158,2887,112,6412
"G0100450","2016-2020","AL",,,"Alabama","01","Dale County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01045",,,"Dale County, Alabama",33522,463,0,0,0,51,69,84,67,232,258,396,618,937,1056,692,8075,2283,2794,5942,3398,4208,1500,262,137,19405,1751,1186,1510,1237,970,1105,1129,713,891,1435,2031,2366,1087,962,602,430,45644,23151,113800,"Dale County, Alabama",160,175,26,26,26,50,64,54,54,114,128,149,159,243,216,194,588,310,328,533,468,364,268,88,75,433,322,245,257,255,236,226,239,157,224,249,245,303,181,257,143,117,3070,111,6288
"G0100470","2016-2020","AL",,,"Alabama","01","Dallas County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01047",,,"Dallas County, Alabama",25611,351,0,5,0,5,40,24,54,161,180,222,348,1189,966,566,8232,1045,1074,3883,3003,2634,1311,177,141,15409,2540,1141,1298,1051,912,1237,806,536,581,1182,1136,1269,802,460,307,151,33317,20427,84100,"Dallas County, Alabama",31,114,26,7,26,11,50,28,75,79,90,120,149,259,240,174,621,221,181,479,471,378,240,102,84,422,428,219,383,216,205,276,202,152,173,288,227,241,174,147,89,86,1786,68,5668
"G0100490","2016-2020","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01049",,,"DeKalb County, Alabama",48306,1402,0,40,65,118,207,150,446,834,618,1406,1381,1957,1232,759,12620,3189,3494,6571,5064,4166,2098,362,127,26365,2122,1740,1934,1635,2066,1477,1483,1455,1052,2426,2543,2807,1721,732,599,573,42267,31424,113600,"DeKalb County, Alabama",91,320,29,54,99,88,128,82,200,286,223,332,297,330,233,206,886,411,423,682,539,612,329,86,66,479,340,319,376,287,364,272,323,286,249,344,354,457,259,171,145,127,2236,109,6285
"G0100510","2016-2020","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01051",,,"Elmore County, Alabama",56633,403,3,0,0,0,17,31,139,283,739,688,1371,1429,1152,958,14577,3381,3259,8486,5097,9546,3762,625,687,29794,1481,1045,1481,1186,1396,1540,992,1305,1293,2596,3349,4250,2986,1822,1754,1318,62324,34332,171100,"Elmore County, Alabama",148,152,5,29,29,29,25,30,107,112,252,232,357,340,215,275,1253,430,454,928,576,846,494,202,247,557,314,233,324,320,304,378,219,307,431,431,444,616,452,283,340,324,3475,226,5942
"G0100530","2016-2020","AL",,,"Alabama","01","Escambia County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01053",,,"Escambia County, Alabama",25703,201,0,0,0,4,2,31,47,76,116,736,911,1295,1118,513,9215,1841,1285,3160,1939,2252,836,78,47,12931,1975,960,788,859,990,810,757,631,586,1083,1112,996,553,316,340,175,35558,16618,100800,"Escambia County, Alabama",111,101,26,26,26,7,3,39,36,40,63,251,210,286,291,148,713,346,249,416,256,329,174,64,30,629,295,212,185,193,260,218,221,184,201,261,232,189,157,112,119,82,2902,398,6470
"G0100550","2016-2020","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01055",,,"Etowah County, Alabama",72188,821,6,31,0,34,143,146,194,328,314,971,1413,2777,1600,1813,18494,5610,5781,12232,6705,7764,3463,1063,485,38765,3092,2385,2595,2423,2289,2528,2080,2011,1773,3103,3409,4470,2839,1624,1329,815,44934,47805,124400,"Etowah County, Alabama",106,243,9,43,29,38,108,76,108,153,116,298,309,469,284,338,1084,526,595,959,692,671,438,318,202,578,389,376,322,358,327,380,330,301,313,337,433,547,455,301,301,190,1643,111,5049
"G0100570","2016-2020","AL",,,"Alabama","01","Fayette County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01057",,,"Fayette County, Alabama",11572,188,0,0,0,26,0,34,17,14,102,245,361,220,424,198,3676,1258,947,1514,926,1055,306,32,29,6805,600,627,472,512,504,315,282,188,334,591,541,1053,376,151,147,112,41469,8493,92400,"Fayette County, Alabama",81,90,19,19,19,44,19,32,19,12,80,126,150,99,132,92,332,254,229,232,204,221,109,36,28,271,162,166,170,136,143,101,115,70,131,145,139,240,126,72,67,66,6240,61,11757
"G0100590","2016-2020","AL",,,"Alabama","01","Franklin County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01059",,,"Franklin County, Alabama",21071,416,0,0,8,81,117,75,40,434,364,396,663,977,545,377,7339,884,1334,2294,1556,2164,727,166,114,11017,882,615,836,1037,630,533,883,467,450,779,1005,1542,569,209,434,146,41174,14082,103000,"Franklin County, Alabama",171,206,26,26,10,88,95,73,53,206,172,160,220,281,184,135,704,175,253,388,253,427,205,112,55,380,205,137,214,323,190,154,224,158,141,176,232,230,164,84,129,79,4093,41,8292
"G0100610","2016-2020","AL",,,"Alabama","01","Geneva County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01061",,,"Geneva County, Alabama",18688,265,0,3,0,30,97,6,18,122,212,340,522,693,637,454,5400,1351,1294,2689,2110,1451,909,81,4,10572,916,833,740,900,561,429,602,797,341,771,829,1267,726,429,281,150,41569,12901,108400,"Geneva County, Alabama",131,103,23,7,23,32,79,12,27,55,108,122,208,258,178,152,527,275,272,390,333,277,234,43,5,378,217,189,160,266,177,103,166,288,116,216,172,219,164,167,128,97,2055,39,6965
"G0100630","2016-2020","AL",,,"Alabama","01","Greene County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01063",,,"Greene County, Alabama",5768,156,0,0,0,21,0,0,0,59,60,16,129,121,384,154,2131,170,276,1026,481,332,190,16,46,3178,604,307,362,208,302,218,123,92,158,233,128,226,118,10,55,34,26688,5131,76200,"Greene County, Alabama",137,155,17,17,17,38,17,17,17,59,51,18,91,78,166,76,319,146,129,294,168,136,81,26,64,229,191,111,179,106,140,108,83,70,98,116,77,83,89,12,54,40,3196,23,19238
"G0100650","2016-2020","AL",,,"Alabama","01","Hale County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01065",,,"Hale County, Alabama",10023,233,0,0,5,0,0,6,15,5,40,218,365,338,461,252,3177,553,369,1445,978,1063,380,49,71,5490,855,641,249,523,444,179,188,209,186,298,460,488,382,202,136,50,30793,7847,91500,"Hale County, Alabama",207,163,19,19,11,19,19,9,21,8,36,96,117,144,154,177,364,216,108,261,239,281,141,42,52,292,200,146,94,207,162,81,85,85,75,105,102,141,112,96,80,39,5559,41,17078
"G0100670","2016-2020","AL",,,"Alabama","01","Henry County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01067",,,"Henry County, Alabama",12214,197,0,0,18,19,31,25,14,206,87,257,351,574,362,244,3282,659,756,1697,1127,1507,712,69,20,6556,507,406,511,367,306,380,203,240,264,537,710,872,414,409,243,187,51715,9203,119000,"Henry County, Alabama",121,77,19,19,22,29,30,36,13,113,48,101,100,184,101,115,334,154,168,264,181,274,177,33,17,285,124,140,130,100,101,101,78,79,101,117,182,187,112,118,74,106,3572,42,7884
"G0100690","2016-2020","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01069",,,"Houston County, Alabama",72863,958,17,2,18,28,63,26,147,306,416,738,1248,1981,1967,1649,18803,4165,5001,12250,6957,10109,4333,1255,426,39784,3112,2444,2439,2256,2090,2153,2051,1998,1631,2948,3738,4616,3022,1855,1791,1640,49069,47798,141800,"Houston County, Alabama",40,122,11,3,16,25,24,19,59,102,94,131,151,224,203,203,773,326,360,504,297,345,332,176,74,366,218,231,230,229,176,242,212,181,174,219,256,327,229,164,207,194,1379,140,3348
"G0100710","2016-2020","AL",,,"Alabama","01","Jackson County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01071",,,"Jackson County, Alabama",37102,571,0,0,4,0,71,44,66,169,273,730,813,1469,1312,614,11473,3028,2432,4720,3295,3942,1603,251,222,20367,1669,1610,1419,1096,1564,1082,1021,1170,805,1363,2473,1901,1764,617,415,398,42578,25135,107900,"Jackson County, Alabama",145,152,29,29,5,29,38,53,50,72,96,225,248,263,273,176,824,362,350,506,421,536,386,117,115,519,272,275,257,225,323,199,253,254,190,201,400,281,332,189,107,136,2418,83,5415
"G0100730","2016-2020","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01073",,,"Jefferson County, Alabama",450079,3890,61,31,167,75,493,276,570,1867,1147,2830,5412,7261,10080,8530,102356,16151,27241,70647,37742,94241,36816,14409,7786,263801,22217,12800,12538,13101,12895,13745,11639,11505,10240,20282,25476,30018,21299,14190,14336,17520,55088,308825,165000,"Jefferson County, Alabama",193,575,54,37,80,39,250,108,207,425,220,383,1100,810,787,776,2525,987,1532,2213,1454,2948,1585,968,861,1463,1406,839,985,1194,1005,1198,909,961,1024,1294,1394,1543,1157,940,1043,1118,1091,362,2569
"G0100750","2016-2020","AL",,,"Alabama","01","Lamar County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01075",,,"Lamar County, Alabama",9810,86,0,1,9,19,10,0,4,49,108,239,230,450,257,210,3228,798,726,1370,909,691,321,66,29,5631,541,554,364,342,278,392,226,223,411,476,406,475,600,177,112,54,42688,7410,95400,"Lamar County, Alabama",89,69,19,3,14,31,16,19,7,34,79,116,88,169,137,97,314,245,207,235,202,152,161,44,38,266,173,170,139,121,108,158,95,135,184,156,112,139,161,100,70,40,5653,32,17370
"G0100770","2016-2020","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01077",,,"Lauderdale County, Alabama",64089,593,0,11,0,30,67,27,22,130,454,820,1470,1504,1285,883,19032,3326,3761,9425,5178,10244,4317,729,781,38513,2675,1902,2740,2188,2430,2280,1915,2084,1457,2601,4040,5042,2397,2253,1365,1144,48428,45272,149500,"Lauderdale County, Alabama",176,184,29,18,29,45,53,40,27,79,162,224,394,326,258,236,1140,387,448,756,731,776,574,236,218,524,402,339,412,357,430,363,315,389,287,418,523,468,350,604,372,243,2729,166,5992
"G0100790","2016-2020","AL",,,"Alabama","01","Lawrence County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01079",,,"Lawrence County, Alabama",23401,459,0,0,37,17,14,114,7,101,231,764,720,716,886,431,7905,1379,1185,2978,1748,2385,1210,47,67,12551,866,628,911,750,789,666,595,750,548,938,1634,1150,1001,501,478,346,47125,15333,113800,"Lawrence County, Alabama",163,153,26,26,39,25,22,81,13,54,118,281,203,199,226,136,597,235,223,430,313,502,356,39,47,349,199,154,209,177,193,191,153,180,173,197,342,264,239,143,148,182,3694,78,10587
